Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:43:47;1;31.3;1;46
2015-06-03;15:43:50;1;31.4;1;43
2015-06-03;15:43:52;1;31.4;1;39
2015-06-03;15:43:54;1;31.4;1;41
2015-06-03;15:43:56;1;31.4;1;40
2015-06-03;15:43:58;1;31.4;1;37
2015-06-03;15:44:00;1;31.4;1;43
2015-06-03;15:44:01;1;31.4;1;45
2015-06-03;15:44:03;1;31.4;1;44
2015-06-03;15:44:08;1;31.4;1;41
2015-06-03;15:44:10;1;31.4;1;41
2015-06-03;15:44:12;1;31.4;1;40
2015-06-03;15:44:14;1;31.4;1;32
2015-06-03;15:44:16;1;31.4;1;41
2015-06-03;15:44:18;1;31.4;1;40
2015-06-03;15:44:20;1;31.4;1;40
2015-06-03;15:44:22;1;31.4;1;35
2015-06-03;15:44:24;1;31.4;1;35
2015-06-03;15:44:25;1;31.4;1;40
2015-06-03;15:44:27;1;31.3;1;37
2015-06-03;15:44:29;1;31.4;1;41
2015-06-03;15:44:31;1;31.4;1;42
2015-06-03;15:44:33;1;31.3;1;39
2015-06-03;15:44:35;1;31.4;1;40
2015-06-03;15:44:37;1;31.3;1;41
2015-06-03;15:44:39;1;31.3;1;35
2015-06-03;15:44:41;1;31.3;1;44
2015-06-03;15:44:43;1;31.3;1;36
2015-06-03;15:44:45;1;31.3;1;41
2015-06-03;15:44:46;1;31.3;1;42
2015-06-03;15:44:48;1;31.4;1;42
2015-06-03;15:44:50;1;31.3;1;40
2015-06-03;15:44:52;1;31.3;1;43
2015-06-03;15:44:54;1;31.3;1;36
2015-06-03;15:44:56;1;31.3;1;43
2015-06-03;15:44:58;1;31.3;1;35
2015-06-03;15:45:00;1;31.3;1;41
2015-06-03;15:45:02;1;31.3;1;38
2015-06-03;15:45:04;1;31.3;1;38
2015-06-03;15:45:08;1;31.3;1;42
2015-06-03;15:45:09;1;31.3;1;43
2015-06-03;15:45:11;1;31.3;1;43
2015-06-03;15:45:13;1;31.3;1;43
2015-06-03;15:45:15;1;31.3;1;43
2015-06-03;15:45:17;1;31.3;1;44
2015-06-03;15:45:19;1;31.3;1;41
2015-06-03;15:45:21;1;31.3;1;42
2015-06-03;15:45:23;1;31.3;1;40
2015-06-03;15:45:25;1;31.3;1;43
2015-06-03;15:45:27;1;31.3;1;42
2015-06-03;15:45:29;1;31.3;1;43
2015-06-03;15:45:31;1;31.3;1;45
2015-06-03;15:45:32;1;31.3;1;43
2015-06-03;15:45:34;1;31.3;1;37
2015-06-03;15:45:36;1;31.3;1;41
2015-06-03;15:45:38;1;31.3;1;45
2015-06-03;15:45:40;1;31.3;1;42
2015-06-03;15:45:42;1;31.3;1;39
2015-06-03;15:45:44;1;31.3;1;37
2015-06-03;15:45:46;1;31.3;1;44
2015-06-03;15:45:48;1;31.3;1;38
2015-06-03;15:45:50;1;31.3;1;44
2015-06-03;15:45:52;1;31.3;1;36
2015-06-03;15:45:54;1;31.3;1;35
2015-06-03;15:45:55;1;31.3;1;40
2015-06-03;15:45:57;1;31.3;1;39
2015-06-03;15:45:59;1;31.3;1;38
2015-06-03;15:46:01;1;31.3;1;39
2015-06-03;15:46:03;1;31.3;1;39
2015-06-03;15:46:05;1;31.3;1;35
2015-06-03;15:46:09;1;31.3;1;34
2015-06-03;15:46:11;1;31.3;1;35
2015-06-03;15:46:13;1;31.3;1;40
2015-06-03;15:46:15;1;31.3;1;34
2015-06-03;15:46:17;1;31.3;1;41
2015-06-03;15:46:18;1;31.3;1;32
2015-06-03;15:46:20;1;31.3;1;38
2015-06-03;15:46:22;1;31.3;1;37
2015-06-03;15:46:24;1;31.3;1;35
2015-06-03;15:46:26;1;31.3;1;30
2015-06-03;15:46:28;1;31.3;1;41
2015-06-03;15:46:30;1;31.3;1;40
2015-06-03;15:46:32;1;31.3;1;38
2015-06-03;15:46:34;1;31.3;1;33
2015-06-03;15:46:36;1;31.3;1;42
2015-06-03;15:46:38;1;31.3;1;35
2015-06-03;15:46:40;1;31.3;1;39
2015-06-03;15:46:41;1;31.3;1;33
2015-06-03;15:46:43;1;31.3;1;38
2015-06-03;15:46:45;1;31.3;1;39
2015-06-03;15:46:47;1;31.3;1;39
2015-06-03;15:46:49;1;31.3;1;41
2015-06-03;15:46:51;1;31.3;1;31
2015-06-03;15:46:53;1;31.3;1;35
2015-06-03;15:46:55;1;31.3;1;37
2015-06-03;15:46:57;1;31.3;1;36
2015-06-03;15:46:59;1;31.3;1;39
2015-06-03;15:47:01;1;31.3;1;35
2015-06-03;15:47:03;1;31.3;1;39
2015-06-03;15:47:04;1;31.3;1;38
2015-06-03;15:47:08;1;31.3;1;35
2015-06-03;15:47:10;1;31.3;1;37
2015-06-03;15:47:12;1;31.3;1;42
2015-06-03;15:47:14;1;31.3;1;40
2015-06-03;15:47:16;1;31.3;1;36
2015-06-03;15:47:18;1;31.3;1;36
2015-06-03;15:47:20;1;31.3;1;47
2015-06-03;15:47:22;1;31.3;1;43
2015-06-03;15:47:24;1;31.3;1;43
2015-06-03;15:47:26;1;31.3;1;38
2015-06-03;15:47:27;1;31.3;1;39
2015-06-03;15:47:29;1;31.3;1;39
2015-06-03;15:47:31;1;31.3;1;39
2015-06-03;15:47:33;1;31.3;1;42
2015-06-03;15:47:35;1;31.3;1;43
2015-06-03;15:47:37;1;31.3;1;43
2015-06-03;15:47:39;1;31.3;1;40
2015-06-03;15:47:41;1;31.3;1;35
2015-06-03;15:47:43;1;31.3;1;38
2015-06-03;15:47:45;1;31.3;1;50
2015-06-03;15:47:47;1;31.3;1;42
